Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
Glycine,,An inhibitory neurotransmitter found primarily in the spinal cord and brainstem. It acts via glycine receptors and contributes to motor control and reflexes.,Glycine,,,,,,,,,,,inhibitory neurotransmitter,spinal cord,brainstem,glycine receptor,motor control,reflex,neurotransmitter,
Golgi cell,,A type of inhibitory interneuron in the cerebellum that regulates input from mossy fibers to granule cells via GABA release.,Purkinje Cells,,,,,,,,,,,cerebellum,interneuron,GABA,granule cell,mossy fiber,inhibitory neuron,cerebellar cortex,
Golgi stain,,"A silver staining method that randomly labels a small subset of neurons in their entirety, allowing detailed study of neuronal morphology.",Silver Staining,Golgi method,Golgi-Cox stain,,,,,,,,,histology,neuronal morphology,silver staining,neuron structure,Camillo Golgi,staining technique,microscopy,
G-protein-coupled receptor,,"A large family of membrane receptors that activate intracellular signaling pathways through G-proteins. GPCRs are critical in neurotransmission, hormone signaling, and sensory perception.","Receptors, G-Protein-Coupled",GPCR,,,GPCR,,,,,,,receptor,G-protein,signal transduction,neurotransmission,membrane protein,second messenger,metabotropic receptor,7-transmembrane receptor
Granule cell,,"A small neuron found in the cerebellum, olfactory bulb, and dentate gyrus of the hippocampus. Granule cells play important roles in sensory and motor information processing.",Neurons,,,,,,,,,,,cerebellum,hippocampus,dentate gyrus,olfactory bulb,neuron,granular layer,excitatory neuron,
Granulomatosis with polyangiitis,,"An autoimmune disease that can affect the central nervous system, sometimes causing neuropathy, headaches, or stroke-like symptoms due to vascular inflammation.",Granulomatosis with Polyangiitis,Wegener's granulomatosis,,,GPA,,,,,,,autoimmune disease,vasculitis,CNS,neuropathy,inflammation,vascular disease,,
Grasp reflex,,A primitive reflex seen in infants where touching the palm induces the hand to close. Persistence in adults may indicate frontal lobe damage.,Reflex,palmar grasp reflex,,,,,,,,,,primitive reflex,infant reflex,frontal lobe,motor reflex,neurological examination,hand,,
Gray matter,,"Brain tissue composed primarily of neuronal cell bodies, dendrites, and unmyelinated axons. It is responsible for information processing and synaptic transmission.",Gray Matter,grey matter,,,,grey matter,gray matter,,,,,neuron,cell body,dendrite,cortex,information processing,synaptic transmission,unmyelinated axon,CNS
Growth cone,,"A dynamic, motile structure at the tip of a developing axon or dendrite that guides neuronal growth by sensing molecular cues in the environment.",Growth Cones,,,,,,,,,,,axon,dendrite,neuronal development,axon guidance,neurodevelopment,pathfinding,growth factor,actin
Growth factor,,"A naturally occurring protein that stimulates cell growth, differentiation, and survival. Examples include BDNF, NGF, and EGF in neural development and repair.",Intercellular Signaling Peptides and Proteins,,,,,,,,,,,BDNF,NGF,protein,cell growth,neural development,neuroprotection,cell differentiation,neurotrophic factor
Gustatory cortex,,"The brain area responsible for processing taste information, primarily located in the insular and frontal opercular regions.",Taste,primary gustatory cortex,,,,,,,,,,taste,insula,frontal operculum,sensory cortex,gustation,taste perception,insular cortex,
Gyri,,The raised ridges or folds of the cerebral cortex. They increase the brain's surface area and are separated by sulci (grooves).,Cerebral Cortex,gyrus,cortical folds,,,,,gyrus,,,,cerebral cortex,brain,sulcus,cortical folding,surface area,gyrification,brain anatomy,
Gyrification,,"The process by which the cerebral cortex develops folds (gyri) and grooves (sulci) during brain development. Gyrification increases the surface area of the brain, allowing for greater cognitive capacity within the limited volume of the skull.",Cerebral Cortex,cortical folding,,,,,,,,,,cerebral cortex,brain development,gyrus,sulcus,cortical development,surface area,neurogenesis,cortical expansion
