Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
Retrograde transport,,"The movement of materials from the axon terminal back to the cell body, typically via dynein motors. Used for recycling vesicles and transporting signals.",Axonal Transport,,,,,,,,,retrograde,,axonal transport,dynein,cell body,axon terminal,vesicles,anterograde transport,microtubules,
Rett syndrome,,"A rare neurodevelopmental disorder, primarily affecting females, caused by mutations in the MECP2 gene. Characterized by developmental regression, motor problems, and seizures.",Rett Syndrome,,,,RTT,,,,,,,MECP2,neurodevelopmental disorder,developmental regression,seizures,motor problems,autism spectrum,,
Reuptake,,"The process by which neurotransmitters are reabsorbed by the presynaptic neuron after being released, terminating synaptic transmission.",,neurotransmitter reuptake,,,,,,reuptake,,,,neurotransmitter,presynaptic neuron,synaptic transmission,transporter,synapse,SSRI,dopamine reuptake,serotonin reuptake
Reward system,,"A group of brain structures involved in motivation, pleasure, and reinforcement. Includes the ventral tegmental area, nucleus accumbens, and prefrontal cortex.",Reward,reward pathway,mesolimbic pathway,,,,,,,,,motivation,pleasure,dopamine,ventral tegmental area,nucleus accumbens,reinforcement,addiction,prefrontal cortex
Rhinal cortex,,A region of the medial temporal lobe that plays a key role in memory and object recognition. Includes the perirhinal and entorhinal cortices.,Entorhinal Cortex,,,,,,,,,rhinal,,medial temporal lobe,memory,object recognition,perirhinal cortex,entorhinal cortex,hippocampus,,
Rhombencephalon,,"Also known as the hindbrain, this embryonic brain region gives rise to the pons, medulla oblongata, and cerebellum.",Rhombencephalon,hindbrain,,,,,,,,,,hindbrain,pons,medulla oblongata,cerebellum,brain development,embryonic brain,brainstem,
Ribosome,,"A cellular organelle responsible for protein synthesis. In neurons, local ribosome activity occurs in dendrites and axons, supporting synaptic plasticity.",Ribosomes,,,,,,,ribosome,,ribosomal,,protein synthesis,translation,dendrites,axons,synaptic plasticity,mRNA,local protein synthesis,
Rostral,,"A directional term meaning ""toward the nose"" or front of the brain. Often used in anatomical descriptions of the central nervous system.",,anterior,,,,,,,,rostral,rostrally,anatomical direction,anterior,caudal,neuroanatomy,brain,central nervous system,,
Ruffini ending,,A slow-adapting mechanoreceptor found in the skin that detects skin stretch and contributes to proprioception and object manipulation.,,Ruffini corpuscle,,,,,,,,,,mechanoreceptor,skin,proprioception,stretch,touch,slow-adapting,somatosensory,
RUNX1,,A transcription factor involved in sensory neuron differentiation and pain signaling. Active during embryonic development and in peripheral nervous system patterning.,Core Binding Factor Alpha 2 Subunit,runt-related transcription factor 1,,,,,,,,,,transcription factor,sensory neuron,pain signaling,differentiation,peripheral nervous system,embryonic development,nociception,
