Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
Neurofibrillary tangle,,"A pathological hallmark of Alzheimer's disease, composed of hyperphosphorylated tau protein that disrupts normal neuronal function.",Neurofibrillary Tangles,NFT,tau tangle,,NFT,,,,,,,Alzheimer disease,tau protein,hyperphosphorylation,neurodegeneration,dementia,neuropathology,,
Neurogenesis,,The process by which new neurons are generated from neural stem or progenitor cells. Continues into adulthood in specific brain regions.,Neurogenesis,,,,,,,,,,,neural stem cell,progenitor cell,hippocampus,brain development,adult neurogenesis,dentate gyrus,,
Neuroglia,,"Also known as glial cells, these support, protect, and nourish neurons. Types include astrocytes, oligodendrocytes, and microglia.",Neuroglia,glia,glial cells,,,,,,,,,astrocyte,oligodendrocyte,microglia,Schwann cell,support cells,myelin,blood-brain barrier,
Neuroimaging,,"Techniques used to visualize the structure or function of the nervous system, including MRI, fMRI, PET, and EEG.",,,,,,,,,,,,MRI,fMRI,PET scan,EEG,brain structure,brain function,neuroscience,
Neurologic examination,,"A systematic clinical assessment of motor, sensory, reflex, and cognitive function to diagnose disorders of the nervous system.",Neurologic Examination,neurological examination,,,,,,,examine,,,motor function,sensory function,reflex,cognition,diagnosis,clinical neurology,,
Neuromodulation,,"The physiological process by which a given neuron uses chemicals to regulate diverse populations of neurons. May be endogenous (e.g., dopamine) or externally applied via electrical stimulation.",Neural Inhibition,,,,,,,,neuromodulate,,,neuron,neurotransmitter,dopamine,electrical stimulation,synaptic transmission,neural regulation,,
Neuromodulator,,"A substance that alters the effectiveness of synaptic transmission without directly causing excitatory or inhibitory postsynaptic potentials. Examples include serotonin, acetylcholine, and norepinephrine.",,,,,,,,,,,,synaptic transmission,serotonin,acetylcholine,norepinephrine,dopamine,neurotransmission,synapse,
Neuron,,"A specialized cell in the nervous system that transmits electrical and chemical signals. Composed of a cell body, axon, and dendrites.",Neurons,nerve cell,,,,,,,,neuronal,,cell body,axon,dendrite,synapse,action potential,neurotransmitter,nervous system,
Neuropil,,"A dense network of interwoven nerve fibers, dendrites, and glial processes where synaptic activity occurs, commonly found in the gray matter of the brain.",Neuropil,,,,,,,,,,,dendrite,axon,synapse,gray matter,neural network,glial process,,
Neuroplasticity,,See neural plasticity.,Neuronal Plasticity,,,,,,,,,,,neural plasticity,synaptic plasticity,learning,memory,brain development,,,
Neuroprosthetics,,"A field that develops devices that interface with the nervous system to restore lost function, such as cochlear implants or brain-computer interfaces.",,neural prosthetics,,,,,,,,,,brain-computer interface,cochlear implant,neural interface,assistive technology,neuroengineering,rehabilitation,,
Neuropsychiatry,,"A medical field combining aspects of neurology and psychiatry to treat disorders with both neurological and psychiatric components, such as OCD or Tourette syndrome.",,,,,,,,,,,,neurology,psychiatry,OCD,Tourette syndrome,mental health,brain disorder,,
Neuropsychology,,"The study of the relationship between brain function and behavior, often using cognitive testing and brain imaging to assess individuals with brain injury or disease.",Neuropsychology,clinical neuropsychology,,,,,,,,neuropsychological,,brain function,behavior,cognitive assessment,brain injury,brain imaging,cognition,,
Neuroscience,,"The scientific study of the nervous system, encompassing a wide range of disciplines from molecular biology and anatomy to behavior and cognition.",Neurosciences,,,,,,,,,,,nervous system,brain,neuron,cognition,behavior,molecular biology,neuroanatomy,
Neurosecretion,,"The release of signaling molecules (such as hormones) by specialized neurons, often into the bloodstream, as in the hypothalamus-pituitary gland axis.",,,,,,,,,neurosecrete,neurosecretory,,hormone,hypothalamus,pituitary gland,endocrine system,neuron,signaling molecule,,
Neurosteroids,,"Steroid molecules synthesized in the brain that modulate neuronal excitability and synaptic function, often via GABA and NMDA receptors.",Neurosteroids,,,,,,,,,,,steroid,brain,neuronal excitability,GABA,NMDA receptor,synaptic function,,
Neurotransmitter,,"A chemical substance released at the end of a neuron's axon that transmits a signal across a synapse to another cell. Examples include glutamate, dopamine, and serotonin.",Neurotransmitter Agents,,,,,,,,,,,synapse,glutamate,dopamine,serotonin,GABA,acetylcholine,chemical transmission,
Nodes of Ranvier,,Regularly spaced gaps in the myelin sheath of axons that allow for saltatory conduction of action potentials.,,,,,,,,,,,,myelin sheath,axon,saltatory conduction,action potential,oligodendrocyte,Schwann cell,nerve conduction,
Nociception,,"The sensory perception of pain, including detection of noxious stimuli and the signaling pathways that convey pain information to the brain.",Nociception,,,,,,,,,nociceptive,,pain,sensory perception,noxious stimulus,pain pathway,somatosensory system,spinal cord,,
Nucleus accumbens,,"A region of the basal forebrain involved in reward, pleasure, and addiction. Rich in dopamine and a key component of the brain's reward circuit.",Nucleus Accumbens,NAc,ventral striatum,,NAc,,,,,,,reward,dopamine,addiction,basal forebrain,motivation,pleasure,mesolimbic pathway,
Nystagmus,,"Rapid, involuntary eye movements that may be physiological or result from vestibular or neurological disorders.","Nystagmus, Pathologic",,,,,,,,,,,eye movement,vestibular system,neurological disorder,ocular motor,vision,balance,,
