"Term","Term Two","Definition","Closest MeSH term","Synonym 1","Synonym 2","Synonym 3","Abbreviation","UK Spelling","US Spelling","Noun Form of Word","Verb Form of Word","Adjective Form of Word","Adverb Form of Word","Commonly Associated Term 1","Commonly Associated Term 2","Commonly Associated Term 3","Commonly Associated Term 4","Commonly Associated Term 5","Commonly Associated Term 6","Commonly Associated Term 7","Commonly Associated Term 8","source","source_priority","sources_contributing","date_added"
"Magnocellular part of red nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Hippocampus","","A part of the brain consisting of a three layered cortex located in the forebrain bordering the medial surface of the lateral ventricle. The term hippocampus is often used synonymously with hippocampal formation which consists of the hippocampus proper or Cornu Ammonis, the dentate gyrus and the subiculum.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Parvicellular part of ventral anterior nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Regional part of cervical spinal cord white matter","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Bed nucleus of stria terminalis","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Parvocellular part of red nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Hippocampus proper","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Nucleus accumbens","","A region of the brain consisting of a collection of neurons located in the forebrain ventral to the caudate and putamen. (caudoputamen in rodent) and continuous with these structures. There is no distinct boundary between the nucleus accumbens and the caudate/putamen, but in rodents, it can be identified by its lack of traversing fiber bundles in comparison to the dorsal striatum. Its principle neuron is the medium spiny neuron. Together with the neostriatum (caudate nucleus and putamen), the nucleus accumbens forms the striatum.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Ventral posteroinferior nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Cervical spinal cord lateral column","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Septofimbrial nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Anterior column of fornix","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Capsule of red nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Pons","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Hypothalamus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Lateral occipital cortex","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Cervical spinal cord dorsal column","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Ventral posterolateral nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Predominantly white regional part of fornix","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Body of fornix","","Part of fornix adjacent to the crura where they join together at the midline underneath the corpus callosum","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Lingual gyrus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Spinothalamic tract of medulla","","Part of spinothalamic tract in the medulla","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Regional part of anterior commissure","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Ventral posteromedial nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Third cervical spinal cord segment","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Trapezoid nuclear complex","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Commissure of fornix","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Occipital gyrus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Regional part of cerebellum","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Thalamic Fiber Tracts","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Tectobulbar tract","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Frontal operculum","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Second cervical spinal cord segment","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Forth cervical spinal cord segment","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Posterior column of fornix","","Part of fornix adjacent to the fimbria comprising flattened bands of fibers that extend from the fimbria, running underneath the corpus callosum","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Ventral nerve root of sacral spinal cord","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Regional part of hippocampal formation","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Superior occipital gyrus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Tectospinal tract","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Fifth cervical spinal cord segment","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Regional part of anterior hypothalamic region","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Regional part of midbrain","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Paraventricular nucleus of thalamus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Vagal nerve fiber bundle","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Sixth cervical spinal cord segment","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Regional part of intermediate hypothalamic region","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Intermediate acoustic stria","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Reuniens nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Regional part of pons","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Predominantly gray part of posterior nuclear complex","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Seventh cervical spinal cord segment","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Lateral lemniscus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Regional part of substantia nigra","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Dorsal hypothalamic area","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Rhomboidal nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Granular layer of cerebellar cortex","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Caudal central oculomotor nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Medial lemniscus of pons","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Predominantly gray regional part of substantia nigra","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Subfascicular nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Regional part of granular layer of cerebellar cortex","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Predominantly white regional part of hypothalamus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Central oculomotor nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Substantia nigra","","Predominantly gray matter midbrain structure lying dorsal to the crus cerebri and ventral to the midbrain tegmentum. It is divided into a dorsal, cellularly compact region known as the pars compacta and a more ventrally located, containing more loosely packed cells, the pars reticulata. The most lateral region of the reticulata is identified as the pars lateralis (MM).","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Inner granular layer of cerebellar cortex","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Regional part of lumbar spinal cord dorsal horn","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Caudal pontine reticular nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Dorsal oculomotor nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Rostral intralaminar nuclei","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Regional part of midbrain tectum","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Brain","","The part of the central nervous system contained within the cranium, comprising the prosencephalon, mesencephalon, and rhombencephalon. It is derived from the anterior part of the embryonic neural tube.

    * Subdivision of neuraxis that consists of neural tissue (which is organized into gray matter and white matter) and the cerebral ventricular system (cavity of organ part); it is embryologically derived from the rostral part of the neural tube; together with the spinal cord, the brain constitutes the organ neuraxis. Examples: There is only one brain. (UWDA) * That part of the central nervous system contained within the cranium, comprising the prosencephalon, mesencephalon, and rhombencephalon. It is derived from the anterior part of the embryonic neural tube. Functions include muscle control and coordination, sensory reception and integration, speech production, memory storage, and the elaboration of thought and emotions. (NCI) * The part of the central nervous system contained within the cranium, comprising the prosencephalon, mesencephalon, and rhombencephalon. It is derived from the anterior part of the embryonic neural tube. (MSH) * portion of the vertebrate central nervous system that is enclosed within the cranium, continuous with the spinal cord, and composed of gray matter and white matter; the primary center for the regulation and control of bodily activities, receiving and interpreting sensory impulses, and transmitting information to the muscles and body organs; also the seat of consciousness, thought, memory, and emotion; includes the functionally similar portion of the invertebrate nervous system. (CSP)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Outer granular layer of cerebellar cortex","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Cingulate gyrus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Central gray substance of pons","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Inferior temporal sulcus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Vagus nerve","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Lumbar spinal cord gray commissure","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Intermediate oculomotor nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Periolivary nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Centromedian nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Inferior colliculus","","Part of the midbrain tectum, consisting of paired predominantly gray matter elevations on the dorsal aspect of the midbrain, located caudal to the superior colliculus, dorsal to the periaqueductal gray of the cerebral aqueduct and rostral to the cerebellum. According to Neuronames, the inferior colliculus comprises the central, pericentral and external nucleus and two predominantly white matter structures, the brachium of the inferior colliculus and the commissure of the inferior colliculus (MM).","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Parahippocampal gyrus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Predominantly white regional part of tectum","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Putamen","","Subcortical nucleus of telencephalic , which together with the caudate nucleus, forms the striatum. The putamen lies lateral to the internal capsule and medial to the external medullary lamina, and is separated from the caudate nucleus by the fibers of the internal capsule for most of its length, except at its anterior portion.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Molecular layer of cerebellar cortex","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Apex of lumbar spinal cord dorsal horn","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Accessory nerve","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Medial oculomotor nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Preolivary nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Predominantly gray regional part of tectum","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Triangular septal nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Oral part of ventral lateral nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Purkinje cell layer of cerebellar cortex","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Substantia gelatinosa of lumbar spinal cord dorsal horn","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Hypoglossal nerve","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Regional part of inferior frontal gyrus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Parvocellular oculomotor nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Opercular part of inferior frontal gyrus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Pulvinar","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Regional part of septal nuclear complex","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Basal ganglia","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Facial nerve","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Lumbar spinal cord lateral column","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Predominantly gray regional part of inferior frontal gyrus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Inferior pulvinar nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Predominantly gray regional part of limbic lobe","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Predominantly gray regional part of septal nuclear complex","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Superficial feature part of telencephalon","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Lumbar spinal cord dorsal column","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Lateral posterior nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Nerve root part of thoracic spinal cord","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Lateral dorsal nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Predominantly white regional part of anterior commissure","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Lumbar spinal cord ventral column","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Predominantly gray regional part of pulvinar","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Regional part of fornix","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Nervous system","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Ventral nucleus of medial geniculate body","","Ventral division of medial geniculate body, first described by Morest (1964) in the cat, but found in primate, mouse and rat as well. It begins midway in the posterior third of the medial geniculate in the cat and is prominant anteriorly. The boundary between the dorsal and ventral divisions is demarcated in rat by a thick horizontally oriented axon bundle, the midgeniculate bundle (Webster, 1995, fig 16).","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Anterior spinocerebellar tract","","Runs through the ventrolateral surface of the spinal cord. It enters the cerebellum through the superior cerebellar peduncle. It crosses the midline at the segmental level and recrosses in the cerebellum. Its terminals are distributed in the cerebellar anterior lobe, preferentially in the ipsilateral intermediate cortex. Rostrally, it extends to lobule II.","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Predominantly gray midline regional part of thalamus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Predominantly gray part of Intralaminar nuclear group","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Predominantly gray regional part of midline nuclear group","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Mammillothalamic tract of hypothalamus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Regional part of superior temporal sulcus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Supramammillary commissure","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Paratenial nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Inferior central nucleus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Banks of superior temporal sulcus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Nucleus of pretectal area","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Mammillary body","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Substantia nigra pars lateralis","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Nucleus of optic tract","","Predominantly gray matter structure consisting of large multipoloar cells lying aong axons of the brachium of the superior colliculus, lyaing adjaent to the dorsal terminal nucleus of the accessory optic system. In several species, cells of this nucleus receive inpu from the contralateral retina (Sefton and Dreher in Paxinos, G. The rat nervous system, 1995, pg. 862).","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Trigeminal nerve","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Nucleus of medial eminence","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Fasciculus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
"Inferior frontal gyrus","","Neuroanatomical structure (definition not available in NIF source)","","","","","","","","","","","","","","","","","","","","nif","2","nif","2025-11-20"
