Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
Blood–brain barrier,Blood-brain barrier,"A selective barrier formed by endothelial cells lining brain capillaries that restricts the passage of substances from the bloodstream into the central nervous system, protecting the brain from pathogens and toxins.",Blood-Brain Barrier,,,,BBB,,,barrier,,,,endothelial cell,tight junction,central nervous system,neurovascular unit,astrocyte,Pericyte,P-glycoprotein,Circumventricular organs
Bouton,,"Also known as an axon terminal or synaptic bouton, this is the swollen end of an axon where neurotransmitters are released into the synaptic cleft.",Presynaptic Terminals,axon terminal,synaptic bouton,terminal bouton,,,,bouton,,,,synapse,neurotransmitter,synaptic vesicle,synaptic cleft,presynaptic terminal,Active zone,Exocytosis,Voltage-gated calcium channel
Brain,,"The central organ of the nervous system, responsible for processing sensory information, regulating bodily functions, and enabling thought, emotion, memory, and consciousness.",Brain,encephalon,,,,,,brain,,,,central nervous system,cerebrum,cerebellum,brainstem,neural tissue,Cerebral cortex,Neuron,Neuroplasticity
Brain-derived neurotrophic factor,,A protein that supports the survival of existing neurons and encourages the growth and differentiation of new neurons and synapses. It is crucial for long-term memory and synaptic plasticity.,Brain-Derived Neurotrophic Factor,,,,BDNF,,,,,,,neurotrophin,synaptic plasticity,neurogenesis,long-term potentiation,neurotrophic factor,Tropomyosin receptor kinase B,CREB,Major Depressive Disorder
Brain plasticity,,"Also called neuroplasticity, this refers to the brain's ability to reorganize and adapt by forming new neural connections throughout life, especially after injury or in response to learning and experience.",Neuronal Plasticity,neuroplasticity,neural plasticity,cortical plasticity,,,,plasticity,,plastic,,synaptic plasticity,learning,memory,neural reorganization,cortical remapping,Long-Term Potentiation,Synaptogenesis,Neurogenesis
Brainstem,,"The posterior part of the brain that connects the cerebrum with the spinal cord. It includes the midbrain, pons, and medulla oblongata and regulates essential functions such as breathing, heart rate, and sleep.",Brain Stem,brain stem,,,,,,brainstem,,,,midbrain,pons,medulla oblongata,reticular formation,cranial nerves,Cerebellum,Autonomic nervous system,Locked-in syndrome
Brain ventricles,,"A set of interconnected cavities within the brain that produce and circulate cerebrospinal fluid (CSF). Includes the lateral, third, and fourth ventricles.",Cerebral Ventricles,ventricular system,cerebral ventricles,ventricles,,,,ventricle,,ventricular,,cerebrospinal fluid,lateral ventricle,third ventricle,fourth ventricle,choroid plexus,Cerebral aqueduct,Hydrocephalus,Arachnoid granulations
Brain waves,,"Patterns of electrical activity in the brain, typically detected by electroencephalography (EEG). Brain waves are categorized by frequency, such as alpha, beta, delta, and theta waves.",Brain Waves,neural oscillations,brainwave,EEG rhythm,,,,wave,,,,electroencephalography,alpha wave,beta wave,delta wave,theta wave,Gamma wave,Neural oscillation,Event-Related Potential
Brain-computer interface,,"A technology that enables direct communication between the brain and an external device, often used in research, prosthetics, and communication aids for individuals with disabilities.",Brain-Computer Interfaces,brain-machine interface,neural interface,,BCI,,,interface,,,,neuroprosthetics,electroencephalography,neural decoding,assistive technology,neural engineering,Electrocorticography (ECoG),Motor imagery,Neurofeedback
Bradykinesia,,"Slowness of movement, often a symptom of Parkinson's disease and other disorders involving the basal ganglia.",Hypokinesia,,,,,,,bradykinesia,,bradykinetic,,Parkinson's disease,basal ganglia,motor control,akinesia,movement disorder,Dopamine,Substantia nigra,Extrapyramidal system
Broca's area,,"A region in the frontal lobe, typically in the left hemisphere, associated with the production of speech. Damage can result in Broca's aphasia, characterized by impaired speech fluency.",Broca Area,,,,,,,area,,,,frontal lobe,speech production,language,motor speech,Broca's aphasia,inferior frontal gyrus,Wernicke's area,Arcuate fasciculus
Broca's aphasia,,"A language disorder caused by damage to Broca's area, resulting in slow, laborious speech with relatively preserved comprehension.",Aphasia,expressive aphasia,motor aphasia,nonfluent aphasia,,,,aphasia,,aphasic,,Broca's area,language disorder,speech production,agrammatism,frontal lobe,Language network,Apraxia of speech,Inferior frontal gyrus
Brodmann areas,,"Regions of the cerebral cortex defined by Korbinian Brodmann based on cytoarchitecture. These areas are still widely used to describe functional brain localization (e.g., Brodmann area 17 = primary visual cortex).",,,,,BA,,,area,,,,cerebral cortex,cytoarchitecture,functional localization,cortical mapping,primary visual cortex,Cortical lamination,Nissl stain,Histology
Burst firing,,A pattern of rapid spikes from a neuron followed by a period of quiescence. It plays a role in sensory encoding and signal amplification in various brain circuits.,Action Potentials,burst discharge,bursting,spike burst,,,,firing,burst,bursting,,action potential,neural coding,thalamus,sensory encoding,spike train,Synaptic plasticity,Tonic firing,Low-threshold spike
