Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
Anterior cingulate cortex,,"A region of the cingulate cortex implicated in functions such as emotion regulation, cognitive control, error detection, and decision-making.",Gyrus Cinguli,,,,ACC,,,,,,,cingulate cortex,emotion regulation,cognitive control,error detection,decision-making,limbic system,attention,
Aphasia,,"A language disorder resulting from brain damage, most often in the left hemisphere, that affects the production or comprehension of speech and writing.",Aphasia,,,,,,,aphasia,,aphasic,,language disorder,brain damage,left hemisphere,speech,comprehension,Broca's area,Wernicke's area,
Apoptosis,,"A form of programmed cell death involved in development and disease. In the nervous system, apoptosis shapes neural circuits and removes damaged neurons.",Apoptosis,,,,,,,apoptosis,,apoptotic,,cell death,development,neurodegeneration,neural circuit,caspase,programmed cell death,,
Arachnoid mater,,"The middle of the three layers of the meninges that surround the brain and spinal cord, located between the dura mater and the pia mater.",Arachnoid,arachnoid membrane,,,,,,,,arachnoid,,meninges,dura mater,pia mater,brain,spinal cord,cerebrospinal fluid,,
Arousal,,"A physiological and psychological state of alertness and readiness, regulated by the reticular activating system and neurotransmitters such as norepinephrine and dopamine.",Arousal,,,,,,,arousal,,,,reticular activating system,alertness,norepinephrine,dopamine,consciousness,attention,brainstem,wakefulness
Astrocyte,,"A star-shaped glial cell in the central nervous system involved in maintaining the blood–brain barrier, regulating neurotransmitter levels, and supporting neuronal function.",Astrocytes,,,,,,,,,astrocytic,,glial cell,blood-brain barrier,neurotransmitter,central nervous system,neuronal support,glia,homeostasis,
Ataxia,,"A neurological symptom characterized by a lack of coordination and balance, typically caused by damage to the cerebellum or its connections.",Ataxia,,,,,,,ataxia,,ataxic,,cerebellum,coordination,balance,motor control,gait,movement disorder,,
Auditory cortex,,"A part of the temporal lobe responsible for processing auditory information, including pitch, volume, and sound localization.",Auditory Cortex,primary auditory cortex,,,,,,,,auditory,,temporal lobe,hearing,sound processing,pitch,volume,tonotopy,auditory system,
Autonomic nervous system,,"A division of the peripheral nervous system that controls involuntary physiological processes, including heart rate, digestion, and respiration. It is divided into the sympathetic and parasympathetic systems.",Autonomic Nervous System,,,,ANS,,,,,autonomic,,peripheral nervous system,sympathetic nervous system,parasympathetic nervous system,involuntary control,homeostasis,visceral function,,
Axon,,"A long, slender projection of a neuron that conducts action potentials away from the cell body to synaptic terminals, where neurotransmitters are released.",Axons,nerve fiber,,,,,,axon,,axonal,,neuron,action potential,synaptic terminal,neurotransmitter,myelin,cell body,,
Axon hillock,,The cone-shaped region of a neuron's soma where the axon originates and action potentials are typically initiated.,Axon Initial Segment,initial segment,,,,,,,,,,neuron,soma,action potential,threshold,axon,spike initiation,,
Anemia,,Anemia is a condition in which a person's blood does not produce enough healthy red blood cells which provide oxygen to body tissues. This can cause weakness and fatigue.,Anemia,Anaemia,Bloodlessness,,,Anaemia,Anemia,Anemia,,Anemic,Anemically,Hemoglobin,Hypoxia,Erythropoietin,Cognitive Impairment,Paresthesia,Fatigue,Iron-Deficiency Anemia,Bone Marrow
Apraxia,,"Apraxia is the loss of the ability to perform skilled movements and gestures. For example, a person may no longer be able to wink, lick their lips, or complete the steps required to bathe or dress themselves.",Apraxias,Dyspraxia,,,,,,Apraxia,,Apraxic,,Aphasia,Dysarthria,Parietal Lobe,Frontal Lobe,Ideomotor Apraxia,Ideational Apraxia,Motor Planning,Stroke
Atrial Fibrillation,,"Atrial fibrillation is a rapid, irregular, weak beating of the left atrium or upper chamber of the heart. It can cause blood clots and is a major risk factor for ischemic stroke.",Atrial Fibrillation,Auricular Fibrillation,,,AFib,,,Atrial Fibrillation,,Atrial Fibrillatory,,Ischemic Stroke,Thromboembolism,Tachycardia,Palpitations,Anticoagulation,Cardioversion,Hemodynamic Instability,Heart Failure
Atrophy,,"Atrophy is the process of wasting away or deteriorating in cells, tissues, and organs.",Atrophy,Wasting,Degeneration,Deterioration,,,,Atrophy,Atrophy,Atrophic,,Neurodegeneration,Cerebral Atrophy,Neuronal Loss,Muscle Wasting,Alzheimer's Disease,Multiple Sclerosis,Hippocampus,Apoptosis
Autosomal Recessive Disorders,,Autosomal recessive disorders refers to disorders in which means both parents carry and pass on a copy of a defective gene to the affected person.,,Autosomal Recessive Disease,Autosomal Recessive Defect,,AR,,,Autosome,,Autosomal Recessive,Autosomally,Autosomal Inheritance,Recessive Trait,Carrier,Autosomal Dominant,Cystic Fibrosis,Sickle Cell Anemia,Tay-Sachs Disease,Phenylketonuria
Babinski sign,,"A reflex where the big toe extends upward and the other toes fan out when the sole of the foot is stimulated. Present in infants, but indicative of damage to the corticospinal tract in adults.","Reflex, Babinski",Babinski reflex,extensor plantar response,,,,,,,,,corticospinal tract,upper motor neuron lesion,pyramidal tract,neurological examination,plantar reflex,Clonus,Spasticity,Extensor Hallucis Longus
Barrel cortex,,"A region of the somatosensory cortex in rodents that contains clusters of neurons corresponding to individual whiskers, used as a model for studying sensory processing and plasticity.",Somatosensory Cortex,whisker barrel,,,,,,,,,,somatosensory cortex,whisker,sensory processing,cortical plasticity,rodent model,Somatotopic map,Thalamocortical afferents,Cortical column
Baroreceptor,,A sensory nerve ending in blood vessels that detects changes in blood pressure and relays information to the brainstem for autonomic regulation.,Pressoreceptors,pressure receptor,,,,,,baroreceptor,,,baroreceptive,blood pressure,autonomic regulation,carotid sinus,aortic arch,cardiovascular reflex,Nucleus of the solitary tract,Mechanoreceptor,Glossopharyngeal nerve
Basal ganglia,,"A group of subcortical nuclei involved in motor control, procedural learning, routine behaviors or habits, and cognition. Dysfunction is associated with Parkinson's disease, Huntington's disease, and other movement disorders.",Basal Ganglia,basal nuclei,,,BG,,,,,,,striatum,substantia nigra,motor control,Parkinson's disease,Huntington's disease,Globus pallidus,Subthalamic nucleus,Dopamine
Behavioral neuroscience,,"A subfield of neuroscience that explores how the brain affects behavior, often using techniques from biology, psychology, and physiology.",Neurosciences,biopsychology,psychobiology,biological psychology,,,,,,,behavioral,brain-behavior relationship,cognitive neuroscience,neuropsychology,animal behavior,experimental psychology,Neuroethology,Psychopharmacology,Physiological Psychology
Beta wave,,"A type of brain wave oscillation in the frequency range of approximately 13–30 Hz, typically associated with active concentration, alertness, and cognitive engagement.",Beta Rhythm,beta rhythm,beta oscillation,,,,,,,,,electroencephalography,alertness,concentration,brain waves,neural oscillations,Event-related desynchronization (ERD),Motor cortex,Gamma wave
Bilateral,,"In neuroscience, refers to structures or functions that involve both sides of the brain or body. For example, bilateral activation may occur in both hemispheres during a cognitive task.",,,,,,,,,,bilateral,bilaterally,hemisphere,cerebral cortex,symmetry,lateralization,,Corpus Callosum,Contralateral,Commissure
Binocular rivalry,,"A phenomenon that occurs when two different images are presented to each eye, and perception alternates between them. It is used to study visual awareness and consciousness.",Depth Perception,,,,,,,rivalry,,binocular,,visual perception,consciousness,visual awareness,dichoptic presentation,perceptual alternation,Interocular suppression,Stereopsis,Amblyopia
Bipolar cell,,"A type of neuron located in the retina that transmits signals from photoreceptors (rods and cones) to ganglion cells, playing a key role in visual processing.",Retinal Bipolar Cells,,,,,,,,,,,retina,photoreceptor,ganglion cell,visual processing,retinal circuitry,Amacrine cell,Horizontal cell,Glutamate
Bipolar disorder,,"A mood disorder characterized by alternating episodes of depression and mania, associated with dysregulation in neurotransmitter systems and structural brain changes.",Bipolar Disorder,manic-depressive illness,manic depression,manic-depressive disorder,BD,,,,,,bipolar,mania,depression,mood disorder,affective disorder,lithium,Hypomania,Amygdala,Cyclothymia
Blood–brain barrier,Blood-brain barrier,"A selective barrier formed by endothelial cells lining brain capillaries that restricts the passage of substances from the bloodstream into the central nervous system, protecting the brain from pathogens and toxins.",Blood-Brain Barrier,,,,BBB,,,barrier,,,,endothelial cell,tight junction,central nervous system,neurovascular unit,astrocyte,Pericyte,P-glycoprotein,Circumventricular organs
Bouton,,"Also known as an axon terminal or synaptic bouton, this is the swollen end of an axon where neurotransmitters are released into the synaptic cleft.",Presynaptic Terminals,axon terminal,synaptic bouton,terminal bouton,,,,bouton,,,,synapse,neurotransmitter,synaptic vesicle,synaptic cleft,presynaptic terminal,Active zone,Exocytosis,Voltage-gated calcium channel
Brain,,"The central organ of the nervous system, responsible for processing sensory information, regulating bodily functions, and enabling thought, emotion, memory, and consciousness.",Brain,encephalon,,,,,,brain,,,,central nervous system,cerebrum,cerebellum,brainstem,neural tissue,Cerebral cortex,Neuron,Neuroplasticity
Brain-derived neurotrophic factor,,A protein that supports the survival of existing neurons and encourages the growth and differentiation of new neurons and synapses. It is crucial for long-term memory and synaptic plasticity.,Brain-Derived Neurotrophic Factor,,,,BDNF,,,,,,,neurotrophin,synaptic plasticity,neurogenesis,long-term potentiation,neurotrophic factor,Tropomyosin receptor kinase B,CREB,Major Depressive Disorder
Brain plasticity,,"Also called neuroplasticity, this refers to the brain's ability to reorganize and adapt by forming new neural connections throughout life, especially after injury or in response to learning and experience.",Neuronal Plasticity,neuroplasticity,neural plasticity,cortical plasticity,,,,plasticity,,plastic,,synaptic plasticity,learning,memory,neural reorganization,cortical remapping,Long-Term Potentiation,Synaptogenesis,Neurogenesis
Brainstem,,"The posterior part of the brain that connects the cerebrum with the spinal cord. It includes the midbrain, pons, and medulla oblongata and regulates essential functions such as breathing, heart rate, and sleep.",Brain Stem,brain stem,,,,,,brainstem,,,,midbrain,pons,medulla oblongata,reticular formation,cranial nerves,Cerebellum,Autonomic nervous system,Locked-in syndrome
Brain ventricles,,"A set of interconnected cavities within the brain that produce and circulate cerebrospinal fluid (CSF). Includes the lateral, third, and fourth ventricles.",Cerebral Ventricles,ventricular system,cerebral ventricles,ventricles,,,,ventricle,,ventricular,,cerebrospinal fluid,lateral ventricle,third ventricle,fourth ventricle,choroid plexus,Cerebral aqueduct,Hydrocephalus,Arachnoid granulations
Brain waves,,"Patterns of electrical activity in the brain, typically detected by electroencephalography (EEG). Brain waves are categorized by frequency, such as alpha, beta, delta, and theta waves.",Brain Waves,neural oscillations,brainwave,EEG rhythm,,,,wave,,,,electroencephalography,alpha wave,beta wave,delta wave,theta wave,Gamma wave,Neural oscillation,Event-Related Potential
Brain-computer interface,,"A technology that enables direct communication between the brain and an external device, often used in research, prosthetics, and communication aids for individuals with disabilities.",Brain-Computer Interfaces,brain-machine interface,neural interface,,BCI,,,interface,,,,neuroprosthetics,electroencephalography,neural decoding,assistive technology,neural engineering,Electrocorticography (ECoG),Motor imagery,Neurofeedback
Bradykinesia,,"Slowness of movement, often a symptom of Parkinson's disease and other disorders involving the basal ganglia.",Hypokinesia,,,,,,,bradykinesia,,bradykinetic,,Parkinson's disease,basal ganglia,motor control,akinesia,movement disorder,Dopamine,Substantia nigra,Extrapyramidal system
Broca's area,,"A region in the frontal lobe, typically in the left hemisphere, associated with the production of speech. Damage can result in Broca's aphasia, characterized by impaired speech fluency.",Broca Area,,,,,,,area,,,,frontal lobe,speech production,language,motor speech,Broca's aphasia,inferior frontal gyrus,Wernicke's area,Arcuate fasciculus
Broca's aphasia,,"A language disorder caused by damage to Broca's area, resulting in slow, laborious speech with relatively preserved comprehension.",Aphasia,expressive aphasia,motor aphasia,nonfluent aphasia,,,,aphasia,,aphasic,,Broca's area,language disorder,speech production,agrammatism,frontal lobe,Language network,Apraxia of speech,Inferior frontal gyrus
Brodmann areas,,"Regions of the cerebral cortex defined by Korbinian Brodmann based on cytoarchitecture. These areas are still widely used to describe functional brain localization (e.g., Brodmann area 17 = primary visual cortex).",,,,,BA,,,area,,,,cerebral cortex,cytoarchitecture,functional localization,cortical mapping,primary visual cortex,Cortical lamination,Nissl stain,Histology
Burst firing,,A pattern of rapid spikes from a neuron followed by a period of quiescence. It plays a role in sensory encoding and signal amplification in various brain circuits.,Action Potentials,burst discharge,bursting,spike burst,,,,firing,burst,bursting,,action potential,neural coding,thalamus,sensory encoding,spike train,Synaptic plasticity,Tonic firing,Low-threshold spike
Biomarkers,,"Biomarker is a term used to refer to biological signs of disease found in blood, body fluids, and tissues. Biomarkers can help indicate risk of a disease, aid in diagnosis, and track progression.",Biomarkers,,,,,,,,,,,,,,,,,,,
Blood-brain barrier,,"The blood-brain barrier is a layer of tightly-packed cells that control the movement of substances between the blood and the fluid that surrounds the brain's neurons. It filters what goes in and out of the brain, allowing water, oxygen, and some medications to reach the brain. The blood-brain barrier also blocks harmful substances like bacteria, viruses, or other toxins before they reach the brain.",Blood-brain barrier,,,,,,,,,,,,,,,,,,,
Calcium channel,,"A type of ion channel located on the cell membrane that allows the selective entry of calcium ions (Ca²⁺) into the neuron, playing a crucial role in neurotransmitter release, gene expression, and synaptic plasticity.",Calcium Channels,,Ca2+ channel,,,,,calcium channel,,,,ion channel,neurotransmitter release,synaptic plasticity,depolarization,,Voltage-gated ion channel,Second messenger,Exocytosis
Capsaicin,,"A compound found in chili peppers that activates TRPV1 receptors on sensory neurons, leading to the sensation of heat or burning. It is used in research and in topical analgesics for chronic pain.",Capsaicin,,,,,,,capsaicin,,,,TRPV1 receptor,nociception,pain,sensory neuron,,Substance P,Neurogenic inflammation,Desensitization
Caudate nucleus,,"A C-shaped structure located in the basal ganglia, involved in motor control, learning, memory, and reward processing. It works closely with the putamen and globus pallidus.",Caudate Nucleus,,,,,,,caudate,,,caudate,basal ganglia,putamen,globus pallidus,motor control,,Striatum,Huntington's disease,Procedural learning
Central nervous system,,"Consists of the brain and spinal cord, responsible for processing and coordinating sensory data and motor commands.",Central Nervous System,,,,,,,,,central,centrally,brain,spinal cord,sensory processing,motor control,,Peripheral nervous system,Neurotransmitter,Glial cells
Cerebellum,,"A brain structure located at the back of the skull that plays a central role in motor coordination, balance, posture, and some cognitive functions such as attention and language.",Cerebellum,little brain,,,,,,,,cerebellar,,motor coordination,balance,posture,hindbrain,,Ataxia,Purkinje cells,Motor learning
Cerebral cortex,,"The outermost layer of the cerebrum, composed of gray matter. It is involved in higher-order brain functions such as sensory perception, language, decision-making, and voluntary motor control.",Cerebral Cortex,cortex,,,,,,,,cortical,cortically,gray matter,cerebrum,sensory perception,cognition,,Neocortex,Executive function,Cerebral lobes
Cerebral hemisphere,,"One of the two halves of the cerebrum, divided into left and right hemispheres. Each hemisphere specializes in different functions but communicates via the corpus callosum.",Cerebrum,,,,,,,hemisphere,,,hemispheric,,cerebrum,corpus callosum,lateralization,brain asymmetry,Cerebral cortex,Contralateral control,Cerebral lobes
Cerebrospinal fluid,,"A clear fluid found in the brain and spinal cord that cushions neural tissue, removes waste, and provides nutrients. It circulates through the ventricular system and subarachnoid space.",Cerebrospinal Fluid,,,,CSF,,,cerebrospinal fluid,,,,ventricular system,subarachnoid space,blood-brain barrier,choroid plexus,,Hydrocephalus,Intracranial pressure,Lumbar puncture
Chemoreceptor,,"A sensory receptor that responds to chemical stimuli, such as taste molecules or blood oxygen levels. Located in tissues including the tongue, nasal cavity, and blood vessels.",Chemoreceptor Cells,chemical receptor,,,,,,chemoreceptor,,,chemoreceptive,chemical sensing,taste,olfaction,carotid body,,Nociception,Osmoreceptor,G protein-coupled receptor
Cholinergic,,"Refers to cells or systems that use acetylcholine as a neurotransmitter. Cholinergic neurons are involved in memory, attention, and muscle activation.",Cholinergic Neurons,,,,,,,,,cholinergic,,acetylcholine,neurotransmitter,muscarinic receptor,nicotinic receptor,,Acetylcholinesterase,Basal forebrain,Neuromuscular junction
Choroid plexus,,A network of cells located in the ventricles of the brain that produces cerebrospinal fluid and contributes to the maintenance of the blood–CSF barrier.,Choroid Plexus,,,,,,,choroid plexus,,,,cerebrospinal fluid,ventricle,blood-CSF barrier,ependymal cell,,Tela choroidea,Arachnoid granulation,Hydrocephalus
Chromatolysis,,"A cellular response to neuronal injury, characterized by swelling of the cell body and dispersal of Nissl substance, indicating a disruption in protein synthesis.",Nerve Degeneration,,,,,,,chromatolysis,,,,neuronal injury,axotomy,Nissl substance,cell body,,Wallerian degeneration,Neuronal regeneration,Apoptosis
Cingulate cortex,,"A part of the limbic system located on the medial side of the cerebral hemispheres. It is involved in emotion formation, pain perception, decision-making, and cognitive control.",Gyrus Cinguli,cingulate gyrus,,,,,,,,cingulate,,limbic system,emotion,pain perception,cognitive control,,Decision-making,Error detection,Default Mode Network
Cognition,,"The set of mental processes involved in acquiring knowledge and understanding through thought, experience, and the senses. Includes attention, memory, language, and problem-solving.",Cognition,,,,,,,cognition,,cognitive,cognitively,attention,memory,language,problem-solving,,Executive functions,Perception,Metacognition
Cognitive neuroscience,,"A field that studies the biological processes underlying cognition, focusing on how brain structure and function give rise to mental activities.",Cognitive Neuroscience,,,,,,,,,cognitive,,brain imaging,neuropsychology,attention,memory,,Executive function,Prefrontal cortex,Language
Commissure,,A bundle of nerve fibers that connects corresponding areas between the two hemispheres of the brain. The largest is the corpus callosum.,Telencephalic Commissures,,,,,,,commissure,,,commissural,corpus callosum,interhemispheric,white matter,axon,,Anterior commissure,Hemispheric connection,Splenium of corpus callosum
Conditioned stimulus,,"In classical conditioning, a previously neutral stimulus that, after being paired with an unconditioned stimulus, elicits a learned response.","Conditioning, Classical",,,,CS,,,stimulus,condition,conditioned,,classical conditioning,Pavlovian conditioning,unconditioned stimulus,learning,,Conditioned response,Extinction,Acquisition
Conduction velocity,,The speed at which an action potential travels along a nerve fiber. It is influenced by factors such as axon diameter and myelination.,Neural Conduction,nerve conduction velocity,,,,,,,,,,action potential,myelination,axon diameter,nerve fiber,,Saltatory conduction,Nodes of Ranvier,Demyelination
Consciousness,,"A state of awareness of self and the environment. In neuroscience, it involves the coordinated activity of multiple brain regions, particularly the thalamocortical system.",Consciousness,awareness,,,,,,,,conscious,consciously,thalamocortical system,arousal,attention,wakefulness,,Qualia,Metacognition,Neural Correlates of Consciousness
Corpus callosum,,"The largest white matter structure in the brain, consisting of a thick band of axons that connects the left and right cerebral hemispheres.",Corpus Callosum,,,,,,,corpus callosum,,,callosal,white matter,interhemispheric,commissure,axon,,Split-brain,Splenium,Disconnection syndrome
Cortical column,,"A vertically organized group of neurons in the cerebral cortex that processes the same type of information, such as orientation or location in space. It is a basic functional unit of the cortex.",Cerebral Cortex,column,,,,,,column,,,columnar,cerebral cortex,functional architecture,orientation selectivity,sensory processing,,Laminar organization,Minicolumn,Canonical microcircuit
Cortical plasticity,,"The ability of the cerebral cortex to adapt and reorganize in response to experience, learning, or injury.",Neuronal Plasticity,brain plasticity,neural plasticity,,,,,plasticity,,plastic,,cerebral cortex,learning,reorganization,experience-dependent,,Synaptic plasticity,Long-term potentiation,Cortical remapping
Corticospinal tract,,"A major descending pathway from the motor cortex to the spinal cord that mediates voluntary motor control, especially fine movements of the limbs.",Pyramidal Tracts,pyramidal tract,,,,,,tract,,,corticospinal,motor cortex,spinal cord,voluntary movement,descending pathway,,Upper motor neuron,Pyramidal tracts,Internal capsule
Creutzfeldt–Jakob disease,,"A rare and fatal neurodegenerative disorder caused by misfolded prion proteins. It leads to rapid cognitive decline, motor dysfunction, and ultimately death.",Creutzfeldt-Jakob Syndrome,CJD,,,CJD,Creutzfeldt-Jakob disease,Creutzfeldt–Jakob disease,disease,,,,prion,neurodegenerative disease,dementia,spongiform encephalopathy,,Myoclonus,Ataxia,PrPSc
Critical period,,"A developmental window during which the nervous system is particularly sensitive to certain environmental stimuli, crucial for proper development of functions such as vision and language.","Critical Period, Psychological",sensitive period,,,,,,,,critical,,developmental plasticity,visual development,language acquisition,synaptic pruning,,Amblyopia,Long-Term Potentiation (LTP),Hebbian Learning
Cross modal plasticity,,"The ability of one sensory modality to reorganize and compensate in another's absence (e.g., visual cortex being recruited for touch in individuals who are blind).",Neuronal Plasticity,crossmodal plasticity,cross-modal plasticity,,,,,plasticity,,plastic,,sensory deprivation,cortical reorganization,sensory compensation,visual cortex,,Supramodal,Sensory substitution,Human echolocation
Cephalocele,,Cephalocele is a condition that arises as the brain is developing in which part of the brain and central nervous system protrude outside of the skull.,Encephalocele,,,,,,,,,,,,,,,,,,
Cerebral,,"A term used to describe the principal part of the brain, the cerebrum.",Cerebrum,,,,,,,,,,,,,,,,,,
Cerebral Atrophy,,"Cerebral atrophy includes neurons being injured and dying, connections between networks of neurons breaking down, and the gradual shrinking of brain regions.",Atrophy,,,,,,,,,,,,,,,,,,
Cerebral Hypoxia,,"Cerebral hypoxia is a condition in which the brain doesn’t get enough oxygen to function normally, even though blood flow is normal.","Hypoxia, Brain",,,,,,,,,,,,,,,,,,
Chorea,,"Chorea is a movement disorder that causes sudden, unintended, and uncontrollable jerky movements of the muscles in the face, arms, or legs. It is a symptom of many conditions and diseases and is caused by overactivity of the chemical dopamine in the brain.",Chorea,,,,,,,,,,,,,,,,,,
Clonus,,Clonus is a reflex response that includes involuntary and rhythmic muscle contractions. It is seen in some neurological conditions.,Myoclonus,,,,,,,,,,,,,,,,,,
Coma,,"A coma is a long, deep state of unconsciousness. People in a state of coma are alive but unable to move or respond to their surroundings.",Coma,,,,,,,,,,,,,,,,,,
Contracture,,A contracture describes a shortening or tightening of the muscles or tendons around a person's joints. It usually results in a decreased range of motion in the joint.,Contracture,,,,,,,,,,,,,,,,,,
Dendrite,,A branched projection of a neuron that receives synaptic input from other neurons and transmits electrical signals toward the cell body.,Dendrites,,,,,,,dendrite,,dendritic,dendritically,neuron,synapse,cell body,axon,neural transmission,Dendritic spine,Postsynaptic potential,Synaptic plasticity
Dendritic spine,,"A small, membranous protrusion from a neuron's dendrite that typically receives input from a single synapse of an axon. Spines are key sites for synaptic strength and plasticity.",Dendritic Spines,spine,,,,,,spine,,spinous,,dendrite,synapse,synaptic plasticity,postsynaptic density,long-term potentiation,Actin cytoskeleton,Long-term depression,NMDA receptor
Depolarization,,"A change in membrane potential that makes the interior of a neuron more positive relative to the outside, often initiating an action potential if a threshold is reached.",Membrane Potentials,,,,,,,depolarization,depolarize,,,action potential,membrane potential,threshold,hyperpolarization,ion channels,Excitatory Postsynaptic Potential (EPSP),Repolarization,Voltage-gated sodium channels
Descending neuron,,"A neuron that originates in the brain or brainstem and projects downward through the spinal cord to influence motor circuits and autonomic function. Descending neurons are critical for voluntary movement, postural control, and reflex modulation. Major descending pathways include the corticospinal, reticulospinal, rubrospinal, and vestibulospinal tracts.",Motor Neurons,,,,,,,,,,,spinal cord,motor control,corticospinal tract,brainstem,voluntary movement,Lower motor neuron,Reticulospinal tract,Postural control
Developmental neuroscience,,"A branch of neuroscience focused on how the nervous system develops from embryonic stages through adulthood, including neurogenesis, synaptogenesis, and pruning.",,,,,,,,,,developmental,developmentally,neurogenesis,synaptogenesis,neural development,synaptic pruning,embryonic development,Neuronal migration,Axon guidance,Apoptosis
